isin,ticker,name,market
,MMM,3M,US
,AOS,A. O. Smith,US
,ABT,Abbott Laboratories,US
,ABBV,AbbVie,US
,ACN,Accenture,US
,ADBE,Adobe Inc.,US
,AMD,Advanced Micro Devices,US
,AES,AES Corporation,US
,AFL,Aflac,US
,A,Agilent Technologies,US
,APD,Air Products,US
,ABNB,Airbnb,US
,AKAM,Akamai Technologies,US
,ALB,Albemarle Corporation,US
,ARE,Alexandria Real Estate Equities,US
,ALGN,Align Technology,US
,ALLE,Allegion,US
,LNT,Alliant Energy,US
,ALL,Allstate,US
,GOOGL,Alphabet Inc. (Class A),US
,GOOG,Alphabet Inc. (Class C),US
,MO,Altria,US
,AMZN,Amazon,US
,AMCR,Amcor,US
,AEE,Ameren,US
,AEP,American Electric Power,US
,AXP,American Express,US
,AIG,American International Group,US
,AMT,American Tower,US
,AWK,American Water Works,US
,AMP,Ameriprise Financial,US
,AME,Ametek,US
,AMGN,Amgen,US
,APH,Amphenol,US
,ADI,Analog Devices,US
,AON,Aon plc,US
,APA,APA Corporation,US
,APO,Apollo Global Management,US
,AAPL,Apple Inc.,US
,AMAT,Applied Materials,US
,APP,AppLovin,US
,APTV,Aptiv,US
,ACGL,Arch Capital Group,US
,ADM,Archer Daniels Midland,US
,ANET,Arista Networks,US
,AJG,Arthur J. Gallagher & Co.,US
,AIZ,Assurant,US
,T,AT&T,US
,ATO,Atmos Energy,US
,ADSK,Autodesk,US
,ADP,Automatic Data Processing,US
,AZO,AutoZone,US
,AVB,AvalonBay Communities,US
,AVY,Avery Dennison,US
,AXON,Axon Enterprise,US
,BKR,Baker Hughes,US
,BALL,Ball Corporation,US
,BAC,Bank of America,US
,BAX,Baxter International,US
,BDX,Becton Dickinson,US
,BRK.B,Berkshire Hathaway,US
,BBY,Best Buy,US
,TECH,Bio-Techne,US
,BIIB,Biogen,US
,BLK,BlackRock,US
,BX,Blackstone Inc.,US
,XYZ,"Block, Inc.",US
,BK,BNY Mellon,US
,BA,Boeing,US
,BKNG,Booking Holdings,US
,BSX,Boston Scientific,US
,BMY,Bristol Myers Squibb,US
,AVGO,Broadcom,US
,BR,Broadridge Financial Solutions,US
,BRO,Brown & Brown,US
,BF.B,Brown–Forman,US
,BLDR,Builders FirstSource,US
,BG,Bunge Global,US
,BXP,"BXP, Inc.",US
,CHRW,C.H. Robinson,US
,CDNS,Cadence Design Systems,US
,CPT,Camden Property Trust,US
,CPB,Campbell's Company (The),US
,COF,Capital One,US
,CAH,Cardinal Health,US
,KMX,CarMax,US
,CCL,Carnival,US
,CARR,Carrier Global,US
,CAT,Caterpillar Inc.,US
,CBOE,Cboe Global Markets,US
,CBRE,CBRE Group,US
,CDW,CDW Corporation,US
,COR,Cencora,US
,CNC,Centene Corporation,US
,CNP,CenterPoint Energy,US
,CF,CF Industries,US
,CRL,Charles River Laboratories,US
,SCHW,Charles Schwab Corporation,US
,CHTR,Charter Communications,US
,CVX,Chevron Corporation,US
,CMG,Chipotle Mexican Grill,US
,CB,Chubb Limited,US
,CHD,Church & Dwight,US
,CI,Cigna,US
,CINF,Cincinnati Financial,US
,CTAS,Cintas,US
,CSCO,Cisco,US
,C,Citigroup,US
,CFG,Citizens Financial Group,US
,CLX,Clorox,US
,CME,CME Group,US
,CMS,CMS Energy,US
,KO,Coca-Cola Company (The),US
,CTSH,Cognizant,US
,COIN,Coinbase,US
,CL,Colgate-Palmolive,US
,CMCSA,Comcast,US
,CAG,Conagra Brands,US
,COP,ConocoPhillips,US
,ED,Consolidated Edison,US
,STZ,Constellation Brands,US
,CEG,Constellation Energy,US
,COO,Cooper Companies (The),US
,CPRT,Copart,US
,GLW,Corning Inc.,US
,CPAY,Corpay,US
,CTVA,Corteva,US
,CSGP,CoStar Group,US
,COST,Costco,US
,CTRA,Coterra,US
,CRWD,CrowdStrike,US
,CCI,Crown Castle,US
,CSX,CSX Corporation,US
,CMI,Cummins,US
,CVS,CVS Health,US
,DHR,Danaher Corporation,US
,DRI,Darden Restaurants,US
,DDOG,Datadog,US
,DVA,DaVita,US
,DAY,Dayforce,US
,DECK,Deckers Brands,US
,DE,Deere & Company,US
,DELL,Dell Technologies,US
,DAL,Delta Air Lines,US
,DVN,Devon Energy,US
,DXCM,Dexcom,US
,FANG,Diamondback Energy,US
,DLR,Digital Realty,US
,DG,Dollar General,US
,DLTR,Dollar Tree,US
,D,Dominion Energy,US
,DPZ,Domino's,US
,DASH,DoorDash,US
,DOV,Dover Corporation,US
,DOW,Dow Inc.,US
,DHI,D. R. Horton,US
,DTE,DTE Energy,US
,DUK,Duke Energy,US
,DD,DuPont,US
,EMN,Eastman Chemical Company,US
,ETN,Eaton Corporation,US
,EBAY,eBay Inc.,US
,ECL,Ecolab,US
,EIX,Edison International,US
,EW,Edwards Lifesciences,US
,EA,Electronic Arts,US
,ELV,Elevance Health,US
,EME,Emcor,US
,EMR,Emerson Electric,US
,ETR,Entergy,US
,EOG,EOG Resources,US
,EPAM,EPAM Systems,US
,EQT,EQT Corporation,US
,EFX,Equifax,US
,EQIX,Equinix,US
,EQR,Equity Residential,US
,ERIE,Erie Indemnity,US
,ESS,Essex Property Trust,US
,EL,Estée Lauder Companies (The),US
,EG,Everest Group,US
,EVRG,Evergy,US
,ES,Eversource Energy,US
,EXC,Exelon,US
,EXE,Expand Energy,US
,EXPE,Expedia Group,US
,EXPD,Expeditors International,US
,EXR,Extra Space Storage,US
,XOM,ExxonMobil,US
,FFIV,"F5, Inc.",US
,FDS,FactSet,US
,FICO,Fair Isaac,US
,FAST,Fastenal,US
,FRT,Federal Realty Investment Trust,US
,FDX,FedEx,US
,FIS,Fidelity National Information Services,US
,FITB,Fifth Third Bancorp,US
,FSLR,First Solar,US
,FE,FirstEnergy,US
,FI,Fiserv,US
,F,Ford Motor Company,US
,FTNT,Fortinet,US
,FTV,Fortive,US
,FOXA,Fox Corporation (Class A),US
,FOX,Fox Corporation (Class B),US
,BEN,Franklin Resources,US
,FCX,Freeport-McMoRan,US
,GRMN,Garmin,US
,IT,Gartner,US
,GE,GE Aerospace,US
,GEHC,GE HealthCare,US
,GEV,GE Vernova,US
,GEN,Gen Digital,US
,GNRC,Generac,US
,GD,General Dynamics,US
,GIS,General Mills,US
,GM,General Motors,US
,GPC,Genuine Parts Company,US
